Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,Status
nest-hub-mini,Nest Hub Mini,"<p>Compact smart display for counters, desks, and bedside routines.</p>",CyberNest,Electronics > Electronics Accessories,Smart Home,"smart home, display, best seller",TRUE,Color,Charcoal,CN-SH-001,720,shopify,48,deny,manual,79.00,99.00,TRUE,TRUE,,Nest Hub Mini,FALSE,active
orbit-wifi-6-router,Orbit WiFi 6 Router,"<p>Fast dual-band router built for streaming, gaming, and connected homes.</p>",CyberNest,Electronics > Networking,Networking,"networking, wifi, home office",TRUE,Color,White,CN-NW-002,910,shopify,35,deny,manual,129.00,159.00,TRUE,TRUE,,Orbit WiFi 6 Router,FALSE,active
beacon-mesh-node,Beacon Mesh Node,"<p>Add-on mesh node that extends coverage into bedrooms, garages, and patios.</p>",CyberNest,Electronics > Networking,Networking,"networking, mesh, smart home",TRUE,Color,White,CN-NW-003,540,shopify,42,deny,manual,89.00,119.00,TRUE,TRUE,,Beacon Mesh Node,FALSE,active
pulse-smart-speaker,Pulse Smart Speaker,"<p>Room-filling voice speaker with clean audio and everyday assistant controls.</p>",CyberNest,Electronics > Audio,Audio,"audio, smart home, best seller",TRUE,Color,Graphite,CN-AU-004,830,shopify,56,deny,manual,69.00,89.00,TRUE,TRUE,,Pulse Smart Speaker,FALSE,active
glow-rgb-light-strip,Glow RGB Light Strip,"<p>Flexible app-controlled light strip for desks, shelves, and media walls.</p>",CyberNest,Electronics > Electronics Accessories,Lighting,"lighting, rgb, gaming",TRUE,Length,16 ft,CN-LT-005,310,shopify,80,deny,manual,34.00,45.00,TRUE,TRUE,,Glow RGB Light Strip,FALSE,active
halo-smart-bulb-pack,Halo Smart Bulb 4-Pack,"<p>Dimmable color smart bulbs with scene presets and voice assistant support.</p>",CyberNest,Electronics > Electronics Accessories,Lighting,"lighting, smart home, value pack",TRUE,Pack,4 Pack,CN-LT-006,600,shopify,64,deny,manual,49.00,69.00,TRUE,TRUE,,Halo Smart Bulb 4-Pack,FALSE,active
sentinel-doorbell-camera,Sentinel Doorbell Camera,"<p>Video doorbell with motion alerts, night vision, and two-way audio.</p>",CyberNest,Electronics > Video,Security,"security, camera, smart home",TRUE,Color,Black,CN-SC-007,450,shopify,28,deny,manual,119.00,149.00,TRUE,TRUE,,Sentinel Doorbell Camera,FALSE,active
watchtower-indoor-cam,Watchtower Indoor Cam,"<p>Compact 1080p indoor camera for pets, deliveries, and peace of mind.</p>",CyberNest,Electronics > Video,Security,"security, camera, indoor",TRUE,Color,White,CN-SC-008,290,shopify,52,deny,manual,39.00,59.00,TRUE,TRUE,,Watchtower Indoor Cam,FALSE,active
anchor-smart-plug-duo,Anchor Smart Plug Duo,"<p>Two compact smart plugs for lamps, appliances, and scheduled routines.</p>",CyberNest,Electronics > Electronics Accessories,Smart Home,"smart home, plug, value pack",TRUE,Pack,2 Pack,CN-SH-009,240,shopify,90,deny,manual,24.00,32.00,TRUE,TRUE,,Anchor Smart Plug Duo,FALSE,active
climate-sensor-pro,Climate Sensor Pro,"<p>Track temperature, humidity, and air comfort from anywhere.</p>",CyberNest,Electronics > Electronics Accessories,Smart Home,"sensor, smart home, climate",TRUE,Color,White,CN-SH-010,120,shopify,44,deny,manual,29.00,39.00,TRUE,TRUE,,Climate Sensor Pro,FALSE,active
